"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
28,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,58,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895688261941,4069895688269334,4069895690802003,4069895690839498,2532669
29,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,58,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895690861160,4069895690871369,4069895693402438,4069895693442845,2531069
30,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,62,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895693468565,4069895693478598,4069895696013827,4069895696053887,2535229
31,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,62,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895696071832,4069895696080068,4069895698610817,4069895698650230,2530749
32,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,66,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895698667213,4069895698677378,4069895701213247,4069895701253447,2535869
33,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,66,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895701269357,4069895701278208,4069895703814877,4069895703840031,2536669
34,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,70,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895703875099,4069895703883358,4069895706418747,4069895706458126,2535389
35,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,70,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895706475670,4069895706484988,4069895709018137,4069895709053668,2533149
36,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,74,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895709073537,4069895709081818,4069895711623447,4069895711663077,2541629
37,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,74,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895711677905,4069895711685208,4069895714223317,4069895714239391,2538109
38,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,78,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895714293386,4069895714303318,4069895716835187,4069895716869781,2531869
39,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,78,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895716892595,4069895716902708,4069895719445778,4069895719486935,2543070
40,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,82,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895719504369,4069895719513618,4069895722048528,4069895722087927,2534910
41,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,82,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895722104309,4069895722111728,4069895724649038,4069895724683990,2537310
42,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,86,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895724712625,4069895724720878,4069895727257068,4069895732281147,2536190
43,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,86,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895727328947,4069895727340589,4069895729872458,4069895732302218,2531869
44,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,90,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895729938045,4069895729947659,4069895732483848,4069895732484261,2536189
